id,userid,published,last_updated,location,installer_name,installer_url,url,share,hp_model,hp_type,hp_output,refrigerant,dhw_method,cylinder_volume,dhw_coil_hex_area,new_radiators,old_radiators,fan_coil_radiators,UFH,hydraulic_separation,flow_temp,flow_temp_typical,wc_curve,freeze,zone_number,space_heat_control_type,dhw_control_type,dhw_target_temperature,legionella_frequency,legionella_target_temperature,property,floor_area,heat_demand,heat_loss,age,insulation,electricity_tariff,electricity_tariff_type,electricity_tariff_unit_rate_all,electricity_tariff_unit_rate_hp,solar_pv_generation,solar_pv_self_consumption,solar_pv_divert,battery_storage_capacity,electric_meter,heat_meter,metering_inc_boost,metering_inc_central_heating_pumps,metering_inc_brine_pumps,metering_inc_controls,notes,mid_metering,kwh_m2,design_temp,water_heat_demand,EPC_spaceheat_demand,EPC_waterheat_demand,heatgeek,indoor_temperature,betateach,emoncmsorg_userid,installer_logo,ultimaterenewables,heatingacademy,youtube,data_flag,data_flag_note,hp_max_output,measured_base_DT,measured_design_DT,measured_heat_loss,measured_heat_loss_range,hp_max_output_test,volumiser,legionella_immersion,metering_inc_immersion,uses_backup_heater,metering_inc_secondary_heating_pumps,weighted_average_flow_minus_outside,measured_mean_flow_temp_coldest_day,measured_max_flow_temp_coldest_day,measured_outside_temp_coldest_day,measured_emitter_spec,measured_system_volume,weighted_average_ideal_carnot,weighted_flow_temp,latitude,longitude,stats.id,stats.timestamp,stats.combined_elec_kwh,stats.combined_heat_kwh,stats.combined_cop,stats.combined_data_length,stats.combined_elec_mean,stats.combined_heat_mean,stats.combined_flowT_mean,stats.combined_returnT_mean,stats.combined_outsideT_mean,stats.combined_roomT_mean,stats.combined_prc_carnot,stats.running_elec_kwh,stats.running_heat_kwh,stats.running_cop,stats.running_data_length,stats.running_elec_mean,stats.running_heat_mean,stats.running_flowT_mean,stats.running_returnT_mean,stats.running_outsideT_mean,stats.running_roomT_mean,stats.running_prc_carnot,stats.space_elec_kwh,stats.space_heat_kwh,stats.space_cop,stats.space_data_length,stats.space_elec_mean,stats.space_heat_mean,stats.space_flowT_mean,stats.space_returnT_mean,stats.space_outsideT_mean,stats.space_roomT_mean,stats.space_prc_carnot,stats.water_elec_kwh,stats.water_heat_kwh,stats.water_cop,stats.water_data_length,stats.water_elec_mean,stats.water_heat_mean,stats.water_flowT_mean,stats.water_returnT_mean,stats.water_outsideT_mean,stats.water_roomT_mean,stats.water_prc_carnot,stats.cooling_elec_kwh,stats.cooling_heat_kwh,stats.cooling_cop,stats.cooling_data_length,stats.cooling_elec_mean,stats.cooling_heat_mean,stats.cooling_flowT_mean,stats.cooling_returnT_mean,stats.cooling_outsideT_mean,stats.cooling_roomT_mean,stats.cooling_prc_carnot,stats.combined_cooling_kwh,stats.combined_starts,stats.combined_starts_per_hour,stats.from_energy_feeds_elec_kwh,stats.from_energy_feeds_heat_kwh,stats.from_energy_feeds_cop,stats.quality_elec,stats.quality_heat,stats.quality_flowT,stats.quality_returnT,stats.quality_outsideT,stats.quality_roomT,stats.error_air,stats.error_air_kwh,stats.unit_rate_agile,stats.unit_rate_cosy,stats.unit_rate_go
97,2,1,1731618833,"Llanfrothen, Gwynedd",Baxter Kelly (Eco4),https://baxterkelly.co.uk,https://emoncms.org/app/view?name=MyHeatpump&readkey=e24536fb68b132b864fa396d0de44da5,1,Grant Aerona3,Air Source,10.0,R32,Cylinder with coil,210,2.0,1,0,0,0,None,45.0,36,0.0,Anti-freeze valves,1,Manual flow temperature control,Manual control of tank temperature,45.0,Disabled,55,Semi-detached,92.0,8000,6.6,1940 to 1982,"Cavity wall, plus some loft insulation",Good Energy E7,On peak & Off peak,28,,3400,75,1,0,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),0,1,0,1,"Installed with standard Grant Honeywell T3 TPI controls, see excessive cycling early on before changing to 25C room target and just turning controller on/off. Installer assessed DHW demand 3400 kWh, space  heating demand would be 13000 kWh based on a 1800 degree days value. More likely much less than this!",1,87,-3.0,2300,7847,2319,0,1,0,0,,0,0,,0,,10.0,3.0,23.0,3.8,0.8,0.0,0,0,0,0,0,28.3359,33.17,34.8,-0.96,0.0,0,0.0,35.3738,52.9509839,-4.0494094,97,False,2280.37,8156.44,3.576805518402715,35975900,473.281,1657.51,27.485,26.288,7.12673,18.1199,44.7292,2157.8,7898.36,3.6603763092038184,6667920,1224.0599999999997,4423.77,34.47880000000001,31.579,7.1161,18.1684,43.3397,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,142.995,6820,0.6824568669581581,2287.32,8169.18,3.5715072661455327,99.1769,99.2384,99.2384,99.2384,99.2163,94.19,5310,3.62362,0.0,0.0,0.0
357,404,1,1726876735,Newcastle upon Tyne,SBM Energy Solutions Ltd,https://sbmenergysolutions.com/,https://emoncms.org/app/view?name=MyHeatpump&readkey=264f9e4df3fbefed340be75e6255cc30,1,Vaillant Arotherm+,Air Source,7.0,R290,Cylinder with coil,191,0.0,1,0,0,0,None,45.0,35,0.5,Anti-freeze valves,1,"Pure weather compensation, no room influence",Daily scheduled heat up of tank,41.0,Weekly,60,Semi-detached,129.0,14500,8.81,1900 to 1939,"Cavity wall, plus some loft insulation",Agile,Variable half hourly,20,,2600,50,0,0,SDM120 Modbus/MBUS Single Phase (class 1),Axioma Qalcosonic heat meter (class 2),0,1,0,1,,1,,-4.0,3821,13190,2301,1,1,,0,,0,0,,0,,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,54.9738474,-1.6131572,357,False,1327.39,5461.25,4.114276889233759,9502450,624.97,2514.44,28.6957,26.8121,6.63576,18.9927,45.655,1303.55,5358.48,4.110682367381381,5780210,822.535,3364.2199999999993,30.2696,27.7102,6.448990000000001,18.9697,44.9105,1296.53,5340.07,4.118740021441848,5759160,821.102,3364.6699999999996,30.235800000000005,27.688400000000005,6.446310000000001,18.9701,44.9573,7.0186,18.409,2.622887755392813,21050,1174.98,4041.1799999999994,37.9061,32.2788,7.10317,18.9388,42.6179,0.0,0.0,,0,,,,,,,,74.057,1235,0.46787933638167,1327.82,5588.0,4.208401741199862,99.083,99.0829,99.0829,99.0829,99.7748,99.0911,204340,103.095,0.0,0.0,0.0
358,400,1,1727867285,Bournemouth,Octopus Energy Services,https://share.octopus.energy/soft-loris-736,https://emoncms.org/app/view?name=DaikinASHP&readkey=ec7e60165389e53feaf0cfdd3262b743,1,Daikin Altherma 3,Air Source,8.0,R32,Cylinder with coil,200,0.0,1,0,0,0,Don't know,50.0,0,0.0,Anti-freeze valves,1,"Pure weather compensation, no room influence",Daily scheduled heat up of tank,48.0,Weekly,60,Detached,106.0,9682,7487.0,1900 to 1939,"Cavity wall, plus some loft insulation",Octopus Intelligent Go,Variable half hourly,7.07,,7000,40,0,13,Other electricity meter,Heat pump integration,0,1,0,1,Model EDLA08EV/BLYGD,0,,-1.5,2918,0,0,0,1,,0,share.png,0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,50.7201514,-1.8799118,358,False,905.836,3919.36,4.3267876304319985,8959280,534.857,2273.07,27.7736,23.6775,8.36552,19.517,52.5053,882.774,3859.75,4.3722968732654115,3142640,1085.98,4605.83,35.3578,30.1516,8.33979,19.7812,51.7641,660.066,3104.2,4.70286304702863,2806090,937.532,4209.41,34.2506,29.105399999999996,7.94232,19.7892,53.6476,222.708,755.55,3.392558866318228,336550,2381.79,8105.949999999999,44.56730000000001,38.7961,9.74411,19.5498,45.4416,0.0,0.0,,0,,,,,,,,0.0,449,0.18041628345134877,920.678,4023.51,4.370159817004425,98.374,94.9781,94.9781,94.9781,94.9781,94.9781,14050,23.5791,0.0,0.0,0.0
113,137,1,1729268315,Bournemouth,Self Install,,https://emoncms.org/app/view?name=JtrentDaikinAltherma3&readkey=9ce13d5a95943eb1e95f03e12efe2a89,1,Daikin Altherma 3,Air Source,8.0,R32,Cylinder with coil,250,0.0,0,0,0,1,None,38.0,35,0.0,Anti-freeze valves,0,"Pure weather compensation, no room influence",Twice daily scheduled heat up of tank,45.0,Weekly,55,Bungalow,120.0,5000,0.0,1900 to 1939,"Fully insulated walls, floors and loft",,,0,,0,0,0,0,Other pulse output meter (class 1),Heat pump integration,0,0,0,0,"ESPAltherma data feed and R1T sensor used without BUH (sensor is right before pump input), power metering with ShellyEM CT clamp inside main consumer unit",0,42,-1.0,1000,0,0,0,0,0,0,,0,0,,0,,7.32,0.0,23.0,3.3,0.5,0.0,0,0,0,0,0,25.6549,36.42,36.9,0.11,0.0,0,9.58954,35.9164,50.7201514,-1.8799118,113,False,2918.38,11608.0,3.9775491882482745,32893300,438.677,1722.94,30.796,27.527499999999996,10.6226,,45.0714,2842.94,11707.3,4.118025705783449,14480100,747.978,3083.71,34.7729,30.3665,10.1271,,45.46099999999999,1998.74,8921.09,4.46335691485636,13097900,557.253,2499.49,33.5877,29.1839,9.65493,,46.785,844.199,2786.24,3.300454039865008,1382260,2201.24,7280.579999999999,43.7151,39.2003,11.725,,41.7174,0.0,0.0,,0,,,,,,,,189.342,1575,0.1723755293631226,2920.41,11624.2,3.9803315287921905,98.5625,98.4128,98.4128,98.4128,98.4128,0.0,570,0.0760879,0.0,0.0,0.0
99,103,1,1729117613,Saffron Walden,,,https://hp.ashbeehouse.com/app/view?name=My+Heatpump&readkey=921d54396aa9ad66a8983409b165b664,1,Mitsubishi Ecodan,Air Source,11.2,R410A,Cylinder with plate heat exchanger,300,0.0,0,0,0,1,Low loss header,35.0,30,0.0,Central heat pump water circulation,1,Custom controller,Twice daily scheduled heat up of tank,48.0,Disabled,0,Detached,505.0,0,11.3,2012 or newer,"Fully insulated walls, floors and loft",Octopus Intelligent,On peak & Off peak,15,,1700,0,0,0,Other electricity meter,Kamstrup heat meter (class 2),0,1,0,1,"System runs downstairs heating and DHW only. Open system controlled by Home Assistant via ESP Home relay (call for heat), heating trigger temperature higher during Octopus Intelligent cheap rate periods (typically 19.5C and 21.5C during cheap rate). Separate 11kW system running upstairs radiators. Emporia clamp three phase electricity monitor. Ecowitt weather station monitoring outside temperature. Indoor temperature average of all rooms. Now running with wireless thermostat in Auto Adapt mode (since 09/02/24).",0,0,-3.0,0,31603,2811,0,1,0,0,,0,0,,0,,10.7,2.0,23.0,5.7,1.0,0.0,0,0,0,0,1,0.0,33.16,33.5,-2.97,0.0,0,0.0,0.0,52.021569,0.2411256,99,False,3837.82,14733.0,3.838898124456071,33130800,722.307,2632.66,28.1388,25.5438,7.55973,20.3294,48.0405,3837.82,11957.9,3.1158053269825055,5968740,2376.51,7591.58,35.6527,29.0407,6.75879,20.4828,40.554,2499.09,8547.54,3.4202609749948985,4495380,2067.01,7387.99,31.5579,25.1323,5.24,20.2908,42.8137,1338.73,3410.39,2.5474815683520946,1473360,3272.93,8417.38,46.7328,39.4713,10.6011,21.0202,36.0149,0.0,0.0,,0,,,,,,,,415.891,2336,0.2538302727371509,3860.13,15439.0,3.9996062308782347,99.6833,90.7061,90.6988,90.6988,99.0235,91.5357,85860,0.0,0.0,0.0,0.0
105,109,1,1729117105,"Chelmsford, Essex",Greener Living / Self-install,https://greenerliving.co.uk,https://emoncms.org/app/view?name=MyHeatpump&readkey=3b4621e14913d94931dbec18659116da,1,Mitsubishi Ecodan,Air Source,11.2,R32,Cylinder with coil,200,0.0,1,0,1,0,None,45.0,34,0.0,Central heat pump water circulation,1,"Pure weather compensation, no room influence",Automatic top up of tank if temperature drops by 3-6C,44.0,Weekly,60,Semi-detached,125.0,12000,8.0,1940 to 1982,"Cavity wall, plus some loft insulation",,On peak & Off peak,30,,5500,0,0,0,Other electricity meter,Sontex heat meter (class 2),0,1,0,1,Admin: there appears to be errors in the monitoring data ,0,96,0.0,2000,0,0,0,1,0,0,greenerliving.png,0,0,,1,"temperature sensor offset error, reporting heat when compressor is off",11.2,2.0,23.0,6.09,0.8,0.0,0,0,0,0,0,22.8678,35.09,36.7,-1.16,0.0,0,0.0,31.268,51.7345329,0.4730532,105,False,2987.58,12407.5,4.153026864552581,34318300,642.319,2558.78,27.7821,25.480499999999996,7.29238,19.1657,46.3312,2986.89,10939.1,3.662371228937122,8176720,1324.58,4855.15,30.9019,26.9986,6.52417,19.1223,41.1701,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,0.0,3220,0.3377789692379867,2966.95,12235.2,4.123830870085442,99.8007,99.7997,99.7988,99.798,99.7946,99.7946,1550,0.0,0.0,0.0,0.0
108,134,1,1729117531,"Ely, Cambridgeshire",,,https://emoncms.org/app/view?name=CambrianCottage&readkey=ad46976e06dc8d3ebabb409aad0688b5,1,Samsung Gen 6,Air Source,12.0,R32,Cylinder with coil,279,2.97,1,0,0,1,None,45.0,30,0.0,Anti-freeze valves,1,Weather compensation with significant room influence,Automatic top up of tank if temperature drops by 6-10C,50.0,Disabled,0,Detached,210.0,25517,10.11,1983 to 2011,"Cavity wall, plus some loft insulation",Flexible Octopus,Single fixed rate,27.93,,0,0,0,0,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),0,1,0,1,AE120RXYDEG. Homely Control System,1,122,-2.0,7464,19448,2352,0,0,0,0,,0,0,,0,,10.6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,26.4537,32.49,34.8,-2.33,0.0,0,9.31702,33.0247,52.3990199,0.262039,108,False,4379.62,15297.0,3.492768779026491,33703800,806.186,2878.94,28.2886,26.2313,7.81102,,42.6421,4170.92,15212.1,3.647180957678402,8202140,1924.13,7015.04,34.0093,29.4936,7.68928,,42.4876,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,242.638,3405,0.36369786196215265,4382.2,15301.6,3.4917621286112,99.5125,99.5299,99.5299,99.5299,99.1815,0.0,0,0.0,0.0,0.0,0.0
110,136,1,1706573322,Sheffield,Damon Blakemore (Repaired),,https://emoncms.org/app/view?name=NookLG&readkey=42825b08b5e70ef964dea86000b730ee,1,LG Therma V,Air Source,12.0,R32,Cylinder with coil,300,3.0,1,0,0,1,None,45.0,35,0.0,Anti-freeze valves,1,Custom controller,Automatic top up of tank if temperature drops by 6-10C,52.0,Weekly,0,Detached,200.0,0,0.0,1983 to 2011,"Fully insulated walls, floors and loft",,,0,,0,0,0,0,"OpenEnergyMonitor EmonPi v1, EmonTx3 or earlier",Sharky heat meter (class 2),0,1,0,1,,0,0,-4.0,0,0,0,0,1,0,0,,0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0.0,36.22,0.0,-1.68,0.0,0,0.0,0.0,53.3806626,-1.4702278,110,False,7300.07,22450.3,3.075354071947255,22827900,1226.34,3725.05,30.679899999999996,27.924300000000002,6.05196,20.2976,40.271,7280.42,22423.2,3.0799322017136377,17324900,1850.78,5666.37,33.5279,30.556,6.03091,20.2094,40.1194,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,345.196,6999,1.1037546160619243,7313.21,22473.9,3.0730554708534283,99.5125,99.3845,99.3845,99.3845,94.21,14.5916,17670,14.1745,0.0,0.0,0.0
111,112,1,1729271031,Reading UK,Octopus Energy Services,https://octopus.energy/get-a-heat-pump/,https://emoncms.org/app/view?name=DaikinEDLA09RevisedFlowT&readkey=798b7510494f9413958c7044e653480e,1,Daikin Altherma 3 EDLA09D3V3,Air Source,9.0,R32,Cylinder with coil,205,2.5,1,1,0,0,None,50.0,36,26.0,Central heat pump water circulation,1,"Pure weather compensation, no room influence",Daily scheduled heat up of tank,44.0,Weekly,60,Detached,150.0,15000,8.8,1940 to 1982,"Cavity wall, plus some loft insulation",Octopus Flux,On peak & Off peak,0,,0,0,0,9,Other electricity meter,Heat pump integration,0,1,0,1,"Data from ESPAltherma on R2T (after BUH) and R4T, with CT clamp electricity meter. Tape heaters E11H & E12H disabled to allow correct sensor values",0,100,-2.2,2000,15000,2000,0,1,0,0,octopus.png,0,0,,0,,8.4,5.2,30.0,7.0,0.5,0.0,1,1,1,0,0,27.5973,39.4,0.0,-1.6,0.0,0,9.00459,35.1419,51.4564242,-0.9700664,111,False,4577.79,15360.1,3.355352692019512,31821700,825.0509999999999,2798.46,33.3893,30.2506,7.91328,23.4066,41.0945,4508.09,15352.9,3.4056329842571906,17837100,962.045,3253.69,34.2016,31.0673,7.592,23.4115,41.1201,4050.1,14229.3,3.5133206587491665,17100900,903.534,3155.76,33.8434,30.6351,7.346400000000001,23.420799999999996,40.9243,457.986,1123.62,2.453393771862022,736170,2315.3,5985.25,42.6278,40.3849,10.9038,23.2742,43.5149,0.0,0.0,,0,,,,,,,,478.865,11599,1.3121989082921401,4626.47,15894.1,3.4354702397292103,97.4419,95.8353,96.056,96.056,96.0562,96.0561,41010,19.3144,0.0,0.0,0.0
114,82,1,1729521660,Cambridgeshire,TS,,https://emoncms.org/app/view?name=MyHeatpump&readkey=972ce980c177e8264b7863c669f2c407,1,Grant Aerona 3,Air Source,13.0,R32,Cylinder with coil,300,3.0,1,0,0,1,Low loss header,40.0,33,0.0,Glycol/water mixture,2,Custom controller,Daily scheduled heat up of tank,50.0,Fornightly,60,Detached,190.0,15000,8.0,2012 or newer,"Fully insulated walls, floors and loft",,,0,,0,0,1,0,Other electricity meter,Other heat meter,0,1,0,0,"Controller: Weather compensation curve as base line with auto adjustments to account for external influences eg solar, wind etc...Target room temperature 21.2°C ",0,79,-3.0,0,0,0,0,0,0,0,,0,0,,0,,0.0,0.6,23.0,6.28,1.0,0.0,0,0,0,0,0,29.1948,38.51,0.0,-2.36,0.0,0,0.0,36.283,52.333333,0.083333,114,False,4709.68,21246.8,4.511304377367464,30807800,794.163,3459.64,32.2454,30.0442,8.41085,21.3832,55.6421,4658.39,20714.5,4.446707982800924,12722100,1417.72,6179.34,34.6937,32.5211,7.8086,21.2596,54.3556,3037.14,14731.0,4.850286782960286,10589600,1128.25,5265.66,32.3873,30.5877,6.79796,21.091599999999996,56.4754,1620.81,5985.52,3.6929189726124596,2131670,2747.79,10262.2,44.2927,40.4604,10.3431,21.71,50.1222,0.4413,-2.0282,-4.59596646272377,760,,,,,,,,333.895,5782,0.6756470763897454,4732.73,21350.9,4.51132855666814,99.1179,99.5295,99.7521,99.7521,99.0195,99.3015,830,0.108578,0.0,0.0,0.0
116,4,1,1718407233,"Gallt-y-foel, Gwynedd",OpenEnergyMonitor (designed),https://openenergymonitor.org,https://emoncms.org/app/view?name=MyHeatpump&readkey=8a81c75ad1d34e8e13c2ced822d315ce,1,Samsung Gen 6,Air Source,5.0,R32,Cylinder with coil,250,3.3,1,1,0,1,None,35.0,30,0.0,Anti-freeze valves,0,Weather compensation with simple set point control,Automatic top up of tank if temperature drops by 6-10C,45.0,Disabled,0,Detached,133.0,7000,5.5,Pre-1900,"Fully insulated walls, floors and loft",Octopus ,Single fixed rate,25,,0,0,0,0,"OpenEnergyMonitor EmonPi v2, EmonTx4 or newer",Sontex heat meter (class 2),0,1,0,1,"Fully open loop UFH + rads: UFH 16mm, 100mm spacing, 11 loop, approx 65m per loop",0,53,-3.0,1500,0,0,1,1,https://betatalk.buzzsprout.com/509671/13940011-look-at-the-best-performing-heat-pump-systems-in-real-time,0,openenergymonitor.png,0,0,,0,,4.8,0.0,23.0,5.43,0.6,0.0,0,0,0,0,0,0.0,29.9,0.0,1.61,0.0,0,0.0,0.0,,,116,False,3299.76,15572.7,4.719343224961816,29123800,571.095,2686.31,28.0864,24.4571,7.89693,19.6814,48.7999,3267.34,15452.3,4.729321099120385,15972900,781.18,3632.05,29.9173,26.2403,7.73613,19.6337,48.4301,2411.1,12362.8,5.127452200240554,13860800,665.098,3348.61,27.8653,24.0901,7.34039,19.6786,49.2415,856.233,3089.57,3.6083285741147564,2112160,1455.9,5322.84,41.2164,38.025,9.3465,19.4587,45.4506,0.0,0.0,,0,,,,,,,,210.469,2268,0.28034803150687754,3413.09,16027.0,4.69574491150248,82.4209,80.6503,80.6503,80.6503,99.0331,82.3974,0,0.0,0.0,0.0,0.0
117,144,1,1729270709,Neath Port Talbot,Octopus Energy Services,https://octopus.energy,https://emoncms.org/app/view?name=ASHP&readkey=aa9541fb9467d82465c29bd01a574e63,1,Daikin Altherma 3,Air Source,6.0,R32,Cylinder with coil,250,3.0,1,1,0,0,None,50.0,35,0.6,Anti-freeze valves,1,Weather compensation with simple set point control,Daily scheduled heat up of tank,48.0,Weekly,60,Detached,110.0,9047,6.024,2012 or newer,Some insulation in walls and loft,,,0,,0,0,0,21,Other electricity meter,Heat pump integration,0,1,0,1,,0,82,-1.6,2826,0,0,0,1,0,0,octopus.png,0,0,https://youtu.be/drPZCffxk24,1,"temperature sensor offset error, march 16th",5.4,2.0,23.0,5.0,0.6,0.0,1,1,1,0,0,29.1912,42.31,46.6,-1.06,0.0,0,0.0,37.1939,51.66895565,-3.72181789580636,117,False,2783.77,11401.6,4.095740668230493,32702300,485.963,1947.97,28.273899999999998,25.795999999999996,8.7189,19.4081,51.943,2690.68,11122.5,4.13371341073632,9374810,1103.39,4461.86,37.803,33.1869,8.63938,19.7487,50.7655,1884.34,8462.3,4.4908562149081375,8164170,888.218,3866.45,36.5177,31.945899999999998,8.12198,19.709,52.3993,806.338,2660.15,3.2990507702725163,1210640,2394.45,7947.4,45.4888,40.5373,10.0593,19.7502,46.2522,0.0,0.0,,0,,,,,,,,42.286,1989,0.21895707641358558,2791.08,11408.8,4.087593333046706,99.6601,99.4529,99.5205,99.5205,98.1705,99.5205,0,0.0,0.0,0.0,0.0
118,145,1,1729117552,"Medstead, Hampshire",,,https://emoncms.org/app/view?name=MyHeatpump&readkey=73ef2d579b7243e530044a05f2bfc145,1,Midea,Air Source,16.0,R32,Cylinder with coil,210,0.0,1,1,0,0,None,50.0,36,45.0,Central heat pump water circulation,1,"Pure weather compensation, no room influence",Automatic top up of tank if temperature drops by 6-10C,50.0,Weekly,60,Bungalow,143.0,21906,0.0,1900 to 1939,"Cavity wall, plus some loft insulation",,,0,,0,0,0,0,SDM120 Modbus/MBUS Single Phase (class 1),Kamstrup heat meter (class 2),0,1,0,0,M-Thermal MHC-V16,1,153,-2.95,3995,0,0,0,0,0,0,,0,0,,0,,0.0,0.0,23.0,5.91,0.5,0.0,0,0,0,0,0,28.0951,41.84,43.3,-2.02,0.0,0,9.03109,35.5821,51.129972,-1.0644445,118,False,4345.74,15143.4,3.484653936958953,32377100,835.332,2759.0,32.244,30.559,7.5913,19.8801,43.1887,4171.9,14932.3,3.5792564538939096,9831790,1523.6200000000001,5495.69,35.139500000000005,31.8424,7.349109999999999,19.8707,42.5603,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,309.702,9292,1.0331746821055623,4373.09,15781.0,3.6086611526403525,82.5532,82.5694,82.5694,82.5694,99.0731,29.1188,0,0.0,0.0,0.0,0.0
120,151,1,1729271175,Hertfordshire,Octopus Energy Services,https://octopus.energy/get-a-heat-pump/,https://emoncms.org/app/view?name=MyHeatpump&readkey=0e9ab50e73d8ae59d9e6dcc70e5dd5f7,1,Daikin Altherma 3,Air Source,9.0,R32,Cylinder with coil,250,0.0,1,1,0,0,Buffer,50.0,40,0.0,Central heat pump water circulation,1,Weather compensation with a little room influence,Daily scheduled heat up of tank,45.0,Weekly,60,Detached,135.0,12486,7.1,1940 to 1982,Some insulation in walls and loft,Octopus Tracker,,0,,3500,60,1,0,Other electricity meter,Heat pump integration,0,1,0,1,,0,92,-2.0,2870,12486,2870,0,1,0,0,octopus.png,0,0,,0,,8.4,1.1,23.0,3.89,0.6,0.0,0,1,1,0,0,0.0,37.12,0.0,-1.57,0.0,0,0.0,0.0,51.840052299999996,-0.09785519224523963,120,False,2982.79,9926.57,3.3279479949979716,25323100,641.114,2084.46,29.4715,25.6468,7.30795,19.3252,44.0828,2849.61,9911.59,3.4782268450770455,8003020,1279.81,4588.05,36.053,32.1139,7.099859999999999,19.5325,44.0158,2730.28,9567.06,3.504058191833804,7758550,1263.14,4570.06,35.9637,31.9697,6.8831999999999995,19.5186,44.1891,119.331,344.527,2.8871542180992362,244470,1876.46,5982.39,40.1548,37.2535,13.353199999999998,20.0083,40.6168,0.0,0.0,,0,,,,,,,,381.68,1905,0.270819923311127,3013.11,9944.13,3.300287742564991,99.5665,77.7433,77.7674,77.746,77.7419,77.7414,2580,0.224567,0.0,0.0,0.0
122,153,1,1729117523,Lightwater,Rob Whitney,https://www.linkedin.com/in/robertjameswhitney,https://emoncms.org/app/view?name=Ecodan6kW&readkey=d3775df8984bab0862130184a31a73a5,1,Mitsubishi Ecodan,Air Source,6.0,R32,Cylinder with plate heat exchanger,150,0.0,0,1,0,1,Low loss header,40.0,35,0.0,Glycol/water mixture,6,Weather compensation with significant room influence,Automatic top up of tank if temperature drops by 6-10C,50.0,Weekly,51,End-terrace,100.0,10000,5.0,1940 to 1982,Some insulation in walls and loft,Eon-next ,Single fixed rate,23,,0,0,0,0,SDM630 Modbus/MBUS Three Phase (class 1),Sontex heat meter (class 2),0,1,0,1,EoH project system originally SCOP 2.5,1,100,-3.0,3000,10000,3000,0,1,0,0,linkedin.png,0,1,,0,,6.0,2.5,23.0,3.97,0.7,0.0,0,1,1,0,1,30.5158,38.97,40.2,-2.02,0.0,0,8.41346,37.9941,51.3494743,-0.6701098,122,False,3742.6,13023.3,3.4797467001549722,32145900,606.847,2110.4,33.6794,31.650999999999996,8.24951,21.762,44.65729999999999,3611.57,12987.5,3.596081482568523,12982500,1038.98,3747.61,37.4321,34.2126,8.40024,21.7739,44.53679999999999,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,83.353,1949,0.21826733735873005,3747.92,13112.6,3.498633908941493,99.4809,99.4809,99.4809,99.4809,99.9666,99.5239,4540,3.70422,0.0,0.0,0.0
124,32,1,1733320543,West Hampstead,Libtek,https://www.libtek.co.uk/,https://emoncms.org/app/view?name=NW23SL&readkey=0c28f25dea9e38f983d9c83a6dd455c0,1,Vaillant Arotherm+,Air Source,7.0,R290,Cylinder with coil,250,3.2,0,0,0,1,None,35.0,25,0.4,Anti-freeze valves,1,"Pure weather compensation, no room influence",Twice daily scheduled heat up of tank,50.0,Disabled,0,Semi-detached,200.0,11521,6.8,1900 to 1939,"Fully insulated walls, floors and loft",,,0,,0,0,0,0,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),0,1,0,1,,1,58,-3.0,4855,0,0,1,1,0,0,libtek.png,0,1,,0,,8.8,2.0,23.0,8.0,1.0,0.0,0,0,0,0,0,26.2757,37.44,38.5,-0.33,0.0,0,0.0,33.9127,51.5468194,-0.1899646,124,False,5393.14,23888.9,4.4294974727153384,32203600,946.0119999999998,4008.69,32.4116,29.663100000000004,9.12505,22.529499999999995,53.11460000000001,5251.28,23846.8,4.5411404457579865,16948100,1167.32,5170.94,34.1573,30.6473,8.77245,22.4878,53.0094,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,0.0,0.0,,0,,,,,,,,433.301,3051,0.3410674582965879,5410.33,23952.9,4.4272530511077886,85.791,85.7354,85.7354,85.7354,99.0709,33.1916,0,0.0,0.0,0.0,0.0
